time,Cl2m_rad_max,Cr_III_total,Cr_II_total,Cr_I_total,Cr_total,reactor_power_fraction,redox_ratio_CrIII_CrII
0,0,0,0.4,0,0.4,0,0
5,1.0799494007714e-11,0.00015544054490735,0.39984652505133,0,0.40000196559624,0.05,0.00038875052093398
10,2.1612513028432e-11,0.00046622759408188,0.39953781356281,0,0.40000404115689,0.1,0.0011669173185996
15,3.2449225782695e-11,0.00093219634468913,0.39907410393178,0,0.40000630027647,0.15,0.0023358978583298
20,4.33198489205e-11,0.0015531108473905,0.39845570551928,0,0.40000881636667,0.2,0.0038978255948586
25,5.4234671067323e-11,0.0023286634512298,0.39768299918477,0,0.400011662636,0.25,0.0058555770701876
30,6.5204077201174e-11,0.0032584740783866,0.39675643798844,0,0.40001491206683,0.3,0.0082127818641257
35,7.6238573290696e-11,0.0043420893267521,0.39567654806256,0,0.40001863738931,0.35,0.010973835442139
40,8.7348811273573e-11,0.0055789813977299,0.39444392965368,0,0.40002291105141,0.4,0.014143914960558
45,9.8545614453821e-11,0.0069685468461185,0.39305925833834,0,0.40002780518446,0.45,0.017728998104708
50,1.098400033957e-10,0.0085101051483897,0.39152328641517,0,0.40003339156356,0.5,0.021735885051204
55,1.2124322239107e-10,0.010202877885852,0.38983244179848,0,0.40003531968434,0.55,0.026172469994496
60,1.327682682431e-10,0.012046038533193,0.38799120844568,0,0.40003724697887,0.6,0.031047194552295
65,1.4442769358035e-10,0.014038663602403,0.386000509619,0,0.4000391732214,0.65,0.036369546807749
70,1.5623074540879e-10,0.016179744709845,0.38386135344931,0,0.40004109815916,0.7,0.042149970463181
75,1.6819130517812e-10,0.018468186136078,0.38157483537547,0,0.40004302151155,0.75,0.048399905926461
80,1.8032231308416e-10,0.020902802166246,0.37914214080299,0,0.40004494296924,0.8,0.055131835574848
85,1.9263712507854e-10,0.02348231420333,0.37656454798992,0,0.40004686219325,0.85,0.062359333422855
90,2.051495467824e-10,0.026205347646094,0.37384343116785,0,0.40004877881395,0.9,0.070097119439094
95,2.1787386863852e-10,0.029070428523212,0.37098026390679,0,0.40005069243,0.95,0.078361118775085
100,2.3082490235004e-10,0.0320759798747,0.36797662273263,0,0.40005260260733,1,0.087168526186531
105,2.3232297758101e-10,0.035071118412118,0.36498339527576,0,0.40005451368787,1,0.096089627270909
110,2.3383526332102e-10,0.03805574549007,0.36200068017828,0,0.40005642566835,1,0.10512617123075
115,2.3536188288021e-10,0.041029761613249,0.35902857693228,0,0.40005833854553,1,0.11427993271129
120,2.3690295884028e-10,0.043993066438226,0.35606718587795,0,0.40006025231618,1,0.12355271191237
125,2.3845861313288e-10,0.046945558778019,0.35311660819914,0,0.40006216697715,1,0.13294633468937
130,2.4002896694399e-10,0.049887136607347,0.35017694591799,0,0.40006408252533,1,0.14246265263571
135,2.4161414061412e-10,0.05281769706857,0.34724830188907,0,0.40006599895764,1,0.15210354314545
140,2.4321425353441e-10,0.055737136478356,0.34433077979271,0,0.40006791627107,1,0.16187090945488
145,2.4482942403851e-10,0.058645350335089,0.34142448412754,0,0.40006983446263,1,0.17176668066131
150,2.4645976929007e-10,0.061542233327075,0.33852952020234,0,0.40007175352942,1,0.18179281171784
155,2.4810540516583e-10,0.06442767934154,0.33564599412704,0,0.40007367346858,1,0.19195128340234
160,2.4976644613413e-10,0.067301581474484,0.33277401280281,0,0.4000755942773,1,0.20224410225916
165,2.5144300512879e-10,0.070163832041407,0.32991368391144,0,0.40007751595285,1,0.21267330051166
170,2.5313519341829e-10,0.07301432258894,0.32706511590361,0,0.40007943849255,1,0.22324093594396
175,2.5484312047012e-10,0.075852943907419,0.32422841798637,0,0.40008136189379,1,0.23394909174991
180,2.5656689381016e-10,0.078679586044435,0.32140370010959,0,0.40008328615403,1,0.24479987634743
185,2.5830661887722e-10,0.081494138319389,0.3185910729514,0,0.40008521127079,1,0.25579542315619
190,2.6006239887237e-10,0.084296489339097,0.3157906479026,0,0.40008713724169,1,0.26693789033644
195,2.6183433460322e-10,0.087086527014471,0.31300253704993,0,0.40008906406441,1,0.27822946048702
200,2.6362252432299e-10,0.089864138578316,0.31022685315837,0,0.40009099173669,1,0.28967234030008
205,2.6542706356434e-10,0.092629210604279,0.3074637096521,0,0.40009292025638,1,0.30126876017039
210,2.6724804496781e-10,0.095381629026987,0.30471322059442,0,0.4000948496214,1,0.31302097375664
215,2.6908555810503e-10,0.098121279163413,0.30197550066636,0,0.40009677982977,1,0.32493125749239
220,2.7093968929645e-10,0.1008480457355,0.29925066514408,0,0.40009871087958,1,0.33700191004401
225,2.7281052142372e-10,0.10356181289407,0.29653882987494,0,0.40010064276901,1,0.34923525171307
230,2.7469813373656e-10,0.10626246424414,0.29384011125222,0,0.40010257549636,1,0.36163362378027
235,2.7660260165431e-10,0.10894988287148,0.29115462618851,0,0.40010450906,1,0.37419938778834
240,2.7852399656194e-10,0.11162395137074,0.28848249208765,0,0.4001064434584,1,0.3869349247608
245,2.8046238560077e-10,0.11428455187491,0.28582382681524,0,0.40010837869015,1,0.39984263435387
250,2.8241783145371e-10,0.11693156608629,0.28317874866763,0,0.40011031475392,1,0.41292493393823
255,2.8439039212527e-10,0.11956487530905,0.28054737633945,0,0.4001122516485,1,0.42618425760783
260,2.8638012071623e-10,0.12218436048327,0.27792982888952,0,0.40011418937279,1,0.43962305511236
265,2.8838706519324e-10,0.12478990222058,0.27532622570521,0,0.40011612792578,1,0.45324379071026
270,2.9041126815326e-10,0.1273813808415,0.2727366864651,0,0.4001180673066,1,0.46704894193909
275,2.9245276658305e-10,0.12995867641437,0.27016133110008,0,0.40012000751445,1,0.48104099829975
280,2.9451159161392e-10,0.13252166879602,0.26760027975268,0,0.40012194854869,1,0.4952224598513
285,2.9658776827171e-10,0.13507023767412,0.26505365273466,0,0.40012389040877,1,0.50959583571306
290,2.9868131522241e-10,0.13760426261137,0.26252157048291,0,0.40012583309428,1,0.52416364247039
