time,cr_total,recession_um,salt_Cr_avg,salt_Cr_ppm,solid_Cr_min
0,11.978,0,0.02,0.519961,11968
1500000,11.978,0.27261488802771,0.11322031285294,2.9435073545664,10825.714791
3000000,11.978,0.53189510392922,0.20188085159967,5.2485084739308,10281.804009137
4500000,11.978,0.78184458051411,0.28735075595171,7.4705593207705,9899.5546221257
6000000,11.978,1.0244227614577,0.3703000551718,9.6270793493593,9597.2462978282
7500000,11.978,1.26083461452,0.45114078644678,11.728780723083,9344.2324026565
9000000,11.978,1.4919112868322,0.5301571594769,13.783052339938,9125.2612843469
10500000,11.978,1.7182675607109,0.60755939829024,15.79535961472,8931.4880708365
12000000,11.978,1.9403801403469,0.68351051127619,17.769940447684,8757.2620589719
13500000,11.978,2.158631464398,0.75814127284538,19.710194718498,8598.7229714247
15000000,11.978,2.3733363501161,0.83155933435516,21.618921152532,8453.1005491475
16500000,11.978,2.5847592289812,0.90385511781242,23.498470545643,8318.3302840181
18000000,11.978,2.7931258415508,0.97510581491253,25.350849731387,8192.8269669028
19500000,11.978,2.9986314803983,1.0453782057016,27.177794860741,8075.3435592926
21000000,11.978,3.2014469829773,1.1147307078288,28.980824678668,7964.8791902188
22500000,11.978,3.4017232022777,1.1832149052813,30.761280268249,7860.6169153015
24000000,11.978,3.5995944152372,1.2508767138866,32.520355351459,7761.8802828584
25500000,11.978,3.7951809701836,1.3177572866016,34.259119824932,7668.1022131926
27000000,11.978,3.9885913767929,1.3838937281715,35.978538339689,7578.8021868963
28500000,11.978,4.1799239796852,1.4493196674136,37.679485179402,7493.5691883891
30000000,11.978,4.3692683158134,1.5140657213745,39.362756327582,7412.0487275961
31500000,11.978,4.5567062281672,1.5781598761602,41.029079368406,7333.9328098765
33000000,11.978,4.7423127892417,1.6416278027144,42.679121696359,7258.9520756318
34500000,11.978,4.926157074275,1.7044931212266,44.313497390305,7186.8695622728
36000000,11.978,5.1083028146015,1.7667776245452,45.932773021807,7117.4756968572
37500000,11.978,5.2888089544233,1.8285014685649,47.537472604823,7050.5842345506
39000000,11.978,5.467730129079,1.8896833357699,49.128081847512,6986.028932738
40500000,11.978,5.6451170789669,1.9503405767746,50.705051832016,6923.6608036403
42000000,11.978,5.8210170103091,2.0104893336865,52.268802221648,6863.3458265186
43500000,11.978,5.9954739116549,2.0701446483337,53.819724074612,6804.9630284556
45000000,11.978,6.1685288332609,2.1293205577991,55.358182327689,6748.4028633486
46500000,11.978,6.3402201351031,2.1880301792276,56.884518001067,6693.5658341733
48000000,11.978,6.5105837081985,2.2462857855064,58.399050165885,6640.3613152359
49500000,11.978,6.6796531730554,2.3040988731256,59.902077708463,6588.7065400225
51000000,11.978,6.8474600583949,2.361480223291,61.39388091913,6538.5257270977
52500000,11.978,7.0140339627413,2.4184399571803,62.87472292877,6489.7493218163
54000000,11.978,7.1794027010448,2.4749875860801,64.344851012289,6442.313335771
55500000,11.978,7.3435924381469,2.5311320570245,65.804497775126,6396.1587691768
57000000,11.978,7.506627810615,2.5868817944564,67.253882236368,6351.2311039956
58500000,11.978,7.6685320382413,2.6422447383541,68.693210819966,6307.4798576908
60000000,11.978,7.8293270263099,2.6972283792013,70.122678263895,6264.8581891776
61500000,11.978,7.9890334595803,2.7518397901254,71.542468455669,6223.3225498938
63000000,11.978,8.1476708888098,2.8060856564827,72.952755201519,6182.8323740296
